Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
1	1	2016	17.0	21.0	0.0	1.69
2	1	2016	18.0	21.1	0.0	1.53
3	1	2016	19.0	21.0	0.4	1.24
4	1	2016	21.0	25.0	0.0	1.86
5	1	2016	20.0	23.0	4.0	1.57
6	1	2016	17.0	24.0	0.0	2.37
7	1	2016	17.0	21.0	0.0	1.71
8	1	2016	17.4	21.1	0.0	1.65
9	1	2016	18.0	21.0	0.0	1.51
10	1	2016	16.9	20.1	20.0	1.53
11	1	2016	16.0	21.0	0.1	1.91
12	1	2016	14.0	19.0	0.0	1.83
13	1	2016	15.8	19.3	0.0	1.55
14	1	2016	15.2	19.0	1.0	1.64
15	1	2016	14.8	17.0	15.0	1.2
16	1	2016	17.8	19.0	9.0	0.95
17	1	2016	12.0	19.0	5.0	2.18
18	1	2016	16.0	18.0	0.0	1.17
19	1	2016	16.0	18.0	0.0	1.2
20	1	2016	15.9	17.0	1.0	0.87
21	1	2016	13.8	17.0	0.0	1.46
22	1	2016	7.8	15.5	16.3	1.99
23	1	2016	3.0	8.4	0.0	1.43
24	1	2016	3.0	6.0	1.0	0.96
25	1	2016	8.0	11.0	0.0	1.14
26	1	2016	8.0	12.3	0.1	1.41
27	1	2016	13.0	18.0	6.0	1.85
28	1	2016	16.0	19.0	71.0	1.54
29	1	2016	16.0	20.0	20.0	1.81
30	1	2016	16.0	18.1	0.0	1.28
31	1	2016	12.0	17.1	3.0	1.95
1	2	2016	8.7	12.0	10.0	1.33
2	2	2016	8.0	10.1	0.1	1.02
3	2	2016	12.0	14.0	0.0	1.13
4	2	2016	12.0	17.0	0.0	1.88
5	2	2016	11.0	16.1	0.0	1.89
6	2	2016	10.6	18.0	0.0	2.3
7	2	2016	10.0	18.4	0.0	2.44
8	2	2016	13.0	21.0	0.0	2.57
9	2	2016	17.9	22.0	0.0	1.98
10	2	2016	16.4	20.0	0.0	1.85
11	2	2016	19.0	23.0	0.0	2.09
12	2	2016	22.5	26.0	0.0	2.13
13	2	2016	19.9	27.5	0.0	3.17
14	2	2016	12.0	24.0	0.0	3.49
15	2	2016	10.6	13.1	0.0	1.31
16	2	2016	11.3	13.0	0.0	1.1
17	2	2016	11.0	14.0	4.0	1.48
18	2	2016	14.0	16.0	0.1	1.29
19	2	2016	13.0	16.4	4.0	1.69
20	2	2016	15.0	21.0	0.0	2.44
21	2	2016	15.6	17.0	0.0	1.14
22	2	2016	14.0	19.0	0.0	2.18
23	2	2016	12.0	16.0	0.0	1.85
24	2	2016	13.0	15.7	0.0	1.52
25	2	2016	13.7	16.0	0.0	1.44
26	2	2016	13.4	15.0	0.0	1.19
27	2	2016	12.1	18.0	0.0	2.37
28	2	2016	13.0	20.2	0.0	2.74
29	2	2016	15.0	24.0	0.0	3.29
1	3	2016	14.8	21.0	0.0	2.63
2	3	2016	16.0	21.0	0.0	2.44
3	3	2016	19.0	22.0	0.0	1.99
4	3	2016	20.0	24.0	0.0	2.39
5	3	2016	19.0	24.0	0.0	2.66
6	3	2016	19.0	24.8	0.0	2.94
7	3	2016	19.8	23.0	0.0	2.16
8	3	2016	21.0	25.0	0.0	2.51
9	3	2016	15.0	25.0	0.4	3.86
10	3	2016	9.8	14.0	2.0	1.88
11	3	2016	11.0	13.0	0.0	1.33
12	3	2016	14.0	16.0	0.0	1.47
13	3	2016	15.0	19.0	5.0	2.17
14	3	2016	14.0	17.1	0.2	1.87
15	3	2016	14.9	17.0	0.0	1.55
16	3	2016	16.0	18.0	0.4	1.59
17	3	2016	18.0	23.0	0.0	2.69
18	3	2016	21.8	26.0	0.0	2.74
19	3	2016	20.0	27.0	0.0	3.65
20	3	2016	17.9	22.0	0.0	2.51
21	3	2016	17.0	20.0	27.0	2.05
22	3	2016	17.8	19.0	0.4	1.31
23	3	2016	17.0	22.0	11.0	2.78
24	3	2016	12.9	17.0	12.0	2.21
25	3	2016	12.0	17.0	0.1	2.39
26	3	2016	15.0	21.0	0.0	2.88
